experiment,run,model,ME,RMSE_avg,LL
2,1,1,8.656610098121639e-5,0.006897976757256396,-0.1134732551306395
2,1,2,9.143515535941654e-5,0.0019351017083397918,-0.11294458404457444
2,1,3,9.030514046708295e-5,0.0025164868637557423,-0.11292266498783413
2,2,1,1.739230187529955e-5,0.006219314710576878,-0.10150078817413917
2,2,2,2.4558435761748833e-5,0.0015271197744321963,-0.10130928468491157
2,2,3,2.339127920216648e-5,0.003086065151157578,-0.10127684633772632
2,3,1,6.202977931128191e-5,0.004438214346225541,-0.11643696090087587
2,3,2,7.543671024770294e-5,0.003696367130347963,-0.11616685288579467
2,3,3,7.383710696575567e-5,0.0032723346158977412,-0.11614115051788762
2,4,1,0.0002669036459581953,0.004412744297969593,-0.10712880787852269
2,4,2,0.0002661775581129215,0.0015308095645969813,-0.10684376148527802
2,4,3,0.00027006831186730546,0.001333088756845381,-0.10679617478787741
2,5,1,-0.00016307380678473986,0.004680665328008328,-0.11905780030241118
2,5,2,-0.00016335531863399035,0.0014627171807472343,-0.11868723669775301
2,5,3,-0.00016458600192635864,0.0015081811069308684,-0.11866077573507858
2,6,1,4.454349382709897e-5,0.006326123929179507,-0.1253572676765132
2,6,2,5.903434908635998e-5,0.0038231555839159125,-0.12496377024268786
2,6,3,5.754410259803558e-5,0.003903980775024388,-0.12494153289240655
2,7,1,0.00013366649642033402,0.0043877498486166655,-0.12006391708886395
2,7,2,0.00011646492605748605,0.007894786745715946,-0.11966237959237516
2,7,3,0.0001123267683679428,0.0017258040569403262,-0.1196272818596416
2,8,1,4.883752274492724e-5,0.004803509959324701,-0.12559886114828364
2,8,2,6.785285587228059e-5,0.0033172049277596146,-0.1252029712658698
2,8,3,6.687498028576769e-5,0.0019129183131049187,-0.1251854304799129
2,9,1,-0.0004374192593523112,0.005607966699312169,-0.11049043141356796
2,9,2,-0.000433882413902099,0.0024279928084431895,-0.11023684406362763
2,9,3,-0.00041989012672067613,0.0033163782586075907,-0.11023159519789341
2,10,1,0.00020811714788171549,0.004185901869388764,-0.12643950272045762
2,10,2,0.0002003893967891676,0.0029505185720771466,-0.1261858937943014
2,10,3,0.00021236985640132725,0.0025082303159341918,-0.1261716604280313
2,11,1,-0.00014208247754085476,0.004439520277691985,-0.10262449048804291
2,11,2,-0.00015911196840717834,0.0010918113952025034,-0.10226391657778468
2,11,3,-0.00015606648680525597,0.0020508194485694582,-0.10225669665446906
2,12,1,5.21648620572862e-5,0.003395725345276782,-0.1084642318168028
2,12,2,5.581979857955616e-5,0.00394363626145272,-0.10834512078276719
2,12,3,5.59084194570404e-5,0.0020680130212100316,-0.10832655056553955
2,13,1,-0.0001969869296684751,0.00738220828353681,-0.1305780608688348
2,13,2,-0.00018235224705218412,0.003265120811434517,-0.1302506398857984
2,13,3,-0.0001815650153865223,0.004994021876371272,-0.1302217462127943
2,14,1,-1.0056536080752494e-5,0.0061786612375759695,-0.1086591800277771
2,14,2,2.228311933134748e-6,0.0032732019005330686,-0.10787327316806701
2,14,3,5.295286238128995e-6,0.0017598275297773486,-0.10785676874440865
