experiment,run,model,ME,RMSE_avg,LL
1,1,1,-0.0006731548670589437,0.006540185385713404,-0.12194231625256223
1,1,2,-0.0006855380719351017,0.0013469911622616423,-0.1212882217345798
1,1,3,-0.0006821766624383118,0.0013690854371652026,-0.12124368393347687
1,2,1,0.0003377713286337655,0.00436493743148501,-0.11519763476651505
1,2,2,0.0003314682765263022,0.0015759340327819464,-0.11494155525586677
1,2,3,0.00033662283603073386,0.0015566103231543786,-0.11490193399710773
1,3,1,-8.122632900924487e-5,0.0069120355984711185,-0.11923901982560112
1,3,2,-8.66671460798004e-5,0.0010943845492290812,-0.11842661519037812
1,3,3,-8.32588476275613e-5,0.001062566047423751,-0.11840978719724367
1,4,1,0.000914773359907066,0.004950289975444827,-0.10506351227176913
1,4,2,0.0009101672883513103,0.0015208408142554925,-0.10461807248905057
1,4,3,0.0009109338419729273,0.0015306284210316033,-0.10460613339767033
1,5,1,-0.0004140568250689178,0.0046673883005799,-0.11804237976091717
1,5,2,-0.0004195986584838571,0.0010330937075089658,-0.1176555658700301
1,5,3,-0.0004198377223291122,0.000990432622395674,-0.11764699462556856
1,6,1,0.00010165310951962973,0.0045753096794618996,-0.1128526655540199
1,6,2,0.00010959828179823257,0.0010912762762208881,-0.1124508815668121
1,6,3,0.00011002116775237283,0.0010798483050740635,-0.11241777386903595
1,7,1,-0.00022897157696551222,0.004841647295557625,-0.11101627247552338
1,7,2,-0.00023531011193726197,0.0012488097477022563,-0.11066503693657499
1,7,3,-0.00023561547606902955,0.0012406473366099085,-0.1106182988563988
1,8,1,0.00012853535797585858,0.003942899702151414,-0.11718234795247853
1,8,2,0.00014311040481864953,0.0011170502183985213,-0.1169348207205084
1,8,3,0.00014547620240367803,0.001116069726936295,-0.11694448877846997
1,9,1,0.00017139685671903232,0.004631140522282326,-0.1068819120286087
1,9,2,0.0001631385957013784,0.001384560502025625,-0.1065036567733183
1,9,3,0.00016404464858786564,0.0013474156409806265,-0.10646881125121446
1,10,1,0.00030146623281919927,0.00374943323702402,-0.11591472138138822
1,10,2,0.0003022034414048392,0.0009417000484996244,-0.11566738428631956
1,10,3,0.0003053868332336701,0.0009256853499859688,-0.11564822558390517
1,11,1,0.0001484562947952262,0.004977389539049978,-0.11373598179763642
1,11,2,0.00016268990996524653,0.001482398282450796,-0.11332585737766969
1,11,3,0.00016033342297378818,0.001468670874890196,-0.11332117226932716
1,12,1,-0.00037154979297643445,0.0055546383616587565,-0.1222499836988407
1,12,2,-0.0003645492672375294,0.0009232497885935214,-0.12170821730550019
1,12,3,-0.00036708370033187776,0.0009256800404464757,-0.1217115981013505
1,13,1,9.658451408413123e-5,0.0062078969994095205,-0.1108382616890071
1,13,2,9.107758268768407e-5,0.0012819683383924563,-0.11009035196091199
1,13,3,8.920154609531367e-5,0.0012695387086943662,-0.110074830765771
1,14,1,-0.00034696157549945155,0.004435753225932172,-0.11900956062510917
1,14,2,-0.00032945052733989,0.0012671693107339664,-0.1186630022492927
1,14,3,-0.00032731842365989303,0.001255110356396234,-0.1186379438398831
1,15,1,0.00016458108207939557,0.004390585906320853,-0.1049767788525786
1,15,2,0.000163808068063451,0.001103056187566068,-0.10455789166828895
1,15,3,0.00016394597997096514,0.0011205356792944898,-0.10454632524084585
1,16,1,-8.641083254703074e-5,0.005648344646370161,-0.11739563694598074
1,16,2,-8.413566757035135e-5,0.0012680168844870785,-0.11682903692647066
1,16,3,-8.394161825917427e-5,0.0012588223618096581,-0.1168043770140668
1,17,1,0.0001549004222031608,0.004967281093295374,-0.11120549708257692
1,17,2,0.0001854401027534352,0.0011287985609941132,-0.11078435872701148
1,17,3,0.00018122117806326868,0.0011168003544297232,-0.11075619840385105
1,18,1,0.00027820055507863707,0.004136389498110367,-0.1046318365138704
