experiment,run,model,ME,RMSE_avg,LL
2,44,3,-0.00032562440927148926,0.001743503365756154,-0.11422015849969194
2,45,1,0.0003296486253680268,0.006260963299762484,-0.1171310085306919
2,45,2,0.0003268594013991671,0.0036613925819653495,-0.116499071355531
2,45,3,0.0003273692115496562,0.0030351435645907918,-0.11645911080188358
2,46,1,0.0002161802068848042,0.005638392393695619,-0.10878643513131929
2,46,2,0.0002148957982019231,0.0028754423582297997,-0.10823528461334293
2,46,3,0.00021480317185658247,0.0016716645084948899,-0.10819230483186251
2,47,1,-0.00020867618612286024,0.006143380021116062,-0.1398911821475467
2,47,2,-0.00021504580953566067,0.0019278161124330136,-0.13959580080426037
2,47,3,-0.00022121407809215144,0.002583375457312797,-0.1395900773568057
2,48,1,0.0005922144621707561,0.00513546214141092,-0.12113820525450665
2,48,2,0.0006178400382109656,0.003730776790902509,-0.120816675638097
2,48,3,0.0006161672985099566,0.003276038519648904,-0.12078445168888609
2,49,1,0.0005630487266099091,0.005929331139528201,-0.10564578377026157
2,49,2,0.0005475691231030836,0.004931120216833772,-0.10539307587506155
2,49,3,0.0005472755582664954,0.0052400590745105054,-0.10535688423445135
2,50,1,-0.0006082840474511416,0.004353107046264656,-0.11155447096026262
2,50,2,-0.0005817420486352255,0.007606564330003564,-0.11123516968718053
2,50,3,-0.0005888441187445655,0.001756219589036417,-0.1111994690836346
