experiment,run,model,ME,RMSE_avg,LL
1,1,1,-0.0006784840673878883,0.006541416511715494,-0.12194260944492787
1,1,2,-0.0006818041459095546,0.0013769642752198131,-0.12128669537560141
1,1,3,-0.0006789744764989904,0.0013642316846646373,-0.12125431769684032
1,2,1,0.00033919461090043985,0.00436512051976304,-0.11519943956885088
1,2,2,0.0003341238343594273,0.0015837398142167867,-0.11495645255731551
1,2,3,0.00033656444507173286,0.0015700125215466544,-0.11491183265749877
1,3,1,-8.011390400291748e-5,0.006912824901241627,-0.11924300762127348
1,3,2,-8.059785591549976e-5,0.0010880163840640764,-0.1184241425912185
1,3,3,-8.550292918896414e-5,0.0010857615585548109,-0.11842073114867312
1,4,1,0.00091458094273461,0.004950101528773609,-0.10506669801208866
1,4,2,0.0009121527829093182,0.0015142972980996053,-0.10464168250534873
1,4,3,0.000907567732068036,0.0015171819117635453,-0.1045976808609771
1,5,1,-0.00041265568645179146,0.004666581620088758,-0.1180465213145094
1,5,2,-0.0004190860962761369,0.0010050353104064601,-0.11768673188900422
1,5,3,-0.00041950347960394645,0.000996056082474393,-0.11764519857287789
1,6,1,0.0001033813423718723,0.0045750204592599954,-0.11285465020772008
1,6,2,0.00011029559972949625,0.0010783338283747426,-0.11247102794362109
1,6,3,0.00011374542872758982,0.0010758429668167582,-0.11243846046979038
1,7,1,-0.00022924804892508088,0.004841554963204119,-0.11101663778377543
1,7,2,-0.0002324918402020189,0.0012469993280732111,-0.11065715824750423
1,7,3,-0.00023562120207644443,0.0012442233011686647,-0.11063313812084026
1,8,1,0.00012990615630669504,0.003942738543209862,-0.11718630931639046
1,8,2,0.00014230367755232608,0.001109419678273368,-0.11694833155219346
1,8,3,0.00014553153591261974,0.0011160506362766014,-0.1169299874931551
1,9,1,0.0001716275234046404,0.004630837848593192,-0.1068840944292954
1,9,2,0.00016479339203873082,0.0013717283726648805,-0.10649467794997718
1,9,3,0.00016290635017215298,0.0013556086622930597,-0.10646172591638302
1,10,1,0.0003035706855632542,0.003749729862831338,-0.11591831221309784
1,10,2,0.00033573932464217186,0.000934772023692943,-0.11567609500856631
1,10,3,0.00030177475510602186,0.0009308289380006891,-0.11564910001397664
1,11,1,0.0001447529774196017,0.004977566404980542,-0.11373834285877504
1,11,2,0.00015934193069073926,0.0014919678526358112,-0.1133525505084544
1,11,3,0.00016279250993264497,0.0014559273931857807,-0.11332875603377396
1,12,1,-0.00037076946048288106,0.0055539301350296276,-0.12225092230221997
1,12,2,-0.0003577880565228737,0.0009169325861021634,-0.12171799058686239
1,12,3,-0.00036232884412727733,0.0009435255495063434,-0.12172029066845913
