experiment,run,model,ME,MAE,RMSE,RMSE_avg,LL
3,1,1,0.008040566271913418,0.19168166361832611,0.23939600651465373,0.1692255631422884,-1.1644817494199537
3,1,2,0.0048691638197049785,0.15415047212089308,0.19303972529960942,0.10089294065210883,-0.9415727570244556
3,1,3,-0.001421517752732622,0.15212929567452108,0.18971816399417082,0.0834669945550554,-0.9283275052026404
3,2,1,-0.0013807863053866246,0.19617189964098197,0.24693561531103272,0.18627334252861044,-1.1575657107645239
3,2,2,-0.001455878492846254,0.15349941183570798,0.19398255816089546,0.1001828414263666,-0.9148904310660115
3,2,3,-0.003736758460248643,0.1492542282311609,0.18869026504872877,0.08163144696960452,-0.8892602001766312
3,3,1,0.0038599573913541585,0.198233887132645,0.24766250191646283,0.16446408166609666,-1.1742666071530576
3,3,2,-0.003121773135279981,0.1507170138645345,0.1886771665108398,0.05886484355020484,-0.8989886339794634
3,3,3,-0.0034271937537515952,0.14869425832256028,0.1860085404835033,0.05866369809579689,-0.8859433371613235
3,4,1,-0.017581229223790042,0.1986946336871967,0.24829460754725635,0.17939074267658453,-1.1550389837492017
3,4,2,0.0010081617202720413,0.1556585890647927,0.19784876485411942,0.08053355201104986,-0.916345562305506
3,4,3,-0.0038908154873359252,0.14901573401558613,0.18850309741777654,0.07185103188894534,-0.8732245013365928
3,5,1,-0.0018239859975579477,0.19045205573922733,0.24096448388525374,0.16424267600477194,-1.144893816203502
3,5,2,0.0025253835421295825,0.15100024072940132,0.1936487245962048,0.11745950306459232,-0.9168794650734302
3,5,3,0.0007821407577687408,0.14785079349848637,0.1875931126694511,0.07437297284169124,-0.8961576788821781
3,6,1,0.0011342888818864074,0.1909827906284893,0.23918342499869633,0.1570632816253024,-1.168131131499862
3,6,2,0.001276101043629258,0.15542001608655154,0.19479329990692068,0.06132308648118857,-0.9626723343176878
3,6,3,0.00031464524738296823,0.1489306853004781,0.1865718267988808,0.06521595456500459,-0.9215416430864232
3,7,1,-0.009960906990012165,0.1769837794692572,0.2226922362435268,0.12955137521309615,-1.1205780737328295
3,7,2,-0.0006364103876223886,0.15616266642315485,0.19489507741964007,0.12925860227404434,-0.9906779998862103
3,7,3,-0.004921770716733225,0.15358234676903476,0.19047098762602038,0.06404188255331736,-0.9723344010129534
3,8,1,-0.007584286891467682,0.19700508280579598,0.24373720077675573,0.16471169824687035,-1.1807286735796796
3,8,2,0.0040706818258909715,0.16014289816660862,0.20241185628419706,0.11758512335857886,-0.9759354181429759
3,8,3,-0.0019817710000678357,0.15468935131127695,0.19375678720315745,0.08175955798186638,-0.9434056168491803
3,9,1,0.001438946995016184,0.17722441400189629,0.22018580234150142,0.14410875989532035,-1.1077987613222733
3,9,2,-0.005866495839246615,0.1402780250869474,0.17932220997204465,0.2250021919542917,-0.8743194618952576
3,9,3,-0.01599705244766369,0.1371417778114281,0.17155314885903422,0.06571364178655731,-0.8557494813197564
3,10,1,0.006958887324057045,0.19420813136325457,0.24273524839352878,0.16096326676573736,-1.1915685636202356
