model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,run
GLM_ignore_cat,0.5242676327978679,0.4240838502422489,0.24046247248114397,0.685843430416581,0.21429779515376557,0.30812497836071445,0.23656116317504722,0.36867559078297746,1
GLM_one_hot,0.5080983998739869,0.4087569373059744,0.22642885399454263,0.6648872101546189,0.2615791281602675,0.2602268295914525,0.17529640115136721,0.3578460973980331,1
GLM_GLMM_enc,0.510608098733342,0.4067713435618038,0.22767376030930095,0.6669209720479508,0.2570548448731341,0.26189029811719494,0.18258392501239523,0.35875856214319485,1
GBM_ignore_cat,0.5066661360694701,0.41351124428308006,0.22541998553756498,0.6640464989559495,0.2634453280356537,0.30506997659993995,0.2368830294151137,0.35696113135809315,1
GBM_one_hot,0.503839709138541,0.4111080582306976,0.22476257829662222,0.6597907984432269,0.2728558492100712,0.2926928673212436,0.21519573291495675,0.35448454586532196,1
GBM_GLMM_enc,0.4937680456657225,0.40179552441115374,0.22127591009092637,0.6458049785099065,0.30335618881660886,0.26162401817746694,0.1780505074284498,0.34719714477438746,1
NN_ee,0.4955772155816795,0.400793845948478,0.22321746361309194,0.6478270496829811,0.29898685522895363,0.23862256419194655,0.17352538907187623,0.34934141458209006,1
GBM_ee,0.5038035137645164,0.41047383592245407,0.22188812121100865,0.6593422192694207,0.2738442559620422,0.2977571831240416,0.2245833860268005,0.3544248168207604,1
GLMM,0.5080693671791164,0.40951810051840865,0.2270574965780902,0.6647500325207701,0.2618837945066992,0.2647663500950102,0.1738600400763837,0.35754852208101195,1
GPBoost,0.5059919828881113,0.41231555497092276,0.22563061692531056,0.663637805409905,0.26435168777661555,0.29962958919725574,0.23116741801462654,0.35679231269069717,1
GLMMNet,0.4941536850609842,0.3999256618769049,0.21951743566575643,0.6491046987422923,0.29621904246832964,0.26640205432398395,0.17303564429041404,0.3497378062467186,1
GLMMNet_dropout,0.4982499258577578,0.3872766083734718,0.2205517448603545,0.6664749190321445,0.2580483122225523,0.2685031087855035,0.19815303395780495,0.35750470194619943,1
GLM_ignore_cat,0.49230533576849556,0.39643850642308975,0.21750613259374035,0.6428688082923253,0.2100034819351433,0.2350093639357644,0.19038697300348748,0.3487933792862926,2
GLM_one_hot,0.4821660180456636,0.39296776613544954,0.21565802300922862,0.6299067712771101,0.2415394058739977,0.24522489212281467,0.14587432878035964,0.3413372472718054,2
GLM_GLMM_enc,0.48078697619861416,0.3869916968692789,0.21515767754709092,0.6283339858761124,0.24532220853809616,0.20688251681202405,0.13808346594930201,0.3404158307722578,2
GBM_ignore_cat,0.4834553241610658,0.39040036140236767,0.21577387496061062,0.6261737955402147,0.25050240041403204,0.25046792115448135,0.18952905531997552,0.34123599142333616,2
GBM_one_hot,0.47773617831425164,0.3839209511805879,0.2139311308977121,0.6202380708395916,0.2646445619402239,0.23977453738625992,0.16175035301483906,0.3374989422165729,2
GBM_GLMM_enc,0.47373736193623756,0.3832977125323715,0.21612135502830626,0.6134477532568927,0.28065765137476595,0.22250203476590344,0.13715410149870091,0.3338004026217024,2
NN_ee,0.4803702919183248,0.3852944924531234,0.2149167399482808,0.625303969830459,0.2525832267999032,0.2597370021832679,0.15965955732690476,0.3413302818770277,2
GBM_ee,0.47945162025540977,0.39076940562830964,0.21500717007789621,0.6207352041155141,0.26346528520505674,0.2391483411023151,0.16599125907803888,0.338047234961117,2
GLMM,0.48041948403624485,0.3906802192350849,0.2152896864592011,0.627842896674744,0.2465014198847344,0.20402445044069803,0.13516483744893631,0.3400888236000679,2
GPBoost,0.4806237659156629,0.3885858929766327,0.2174315218516242,0.6233829921650096,0.2571684064973142,0.2477907721532012,0.18926805443903919,0.33962140292468534,2
GLMMNet,0.4764383222942266,0.39395349598467955,0.217128472758839,0.6169154958679346,0.27250196205668176,0.20041524380223938,0.1329164901313467,0.3352321159297261,2
