model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,NLL,run
GLMMNet,0.259817193486458,0.22638282091430767,0.29992276425370235,0.32500194444768493,0.25130632650260454,0.08574688426557756,0.08495986752747563,0.18472594639869375,0.32382246125288133,4
GLMMNet_l2,0.25240847300940833,0.2118385881479996,0.28467431906508806,0.3168422761253784,0.28842858455792697,0.08863948061326762,0.08739317312491668,0.17903132113401954,0.2731374125815972,4
GLM_ignore_cat,0.26359382790283914,0.22437859243601763,0.3092805070900348,0.3291509225179951,0.21442600723261662,0.09379829641883632,0.09206426787132974,0.18596827273786112,0.3076996308607184,5
GLM_one_hot,0.2594269968940776,0.221573998672954,0.304552006238923,0.3242517651716694,0.23763729567265202,0.07215293776961604,0.0728135578771149,0.18304993025160932,0.2927035212644698,5
GLM_GLMM_enc,0.25935485801762426,0.21908814405841054,0.2998645991247978,0.3238696429660503,0.23943308582933132,0.07155869249118677,0.07094505020563656,0.18286484582533072,0.29152435253127346,5
GBM_ignore_cat,0.25441446878014484,0.22130856708116348,0.301724747294412,0.3172120034271221,0.27038094167456117,0.09156432284481329,0.0896126152950717,0.17949264636370427,0.2707535850929762,5
GBM_one_hot,0.25338816009049014,0.22073332515848174,0.29939572266417214,0.31624178880862003,0.274837295836181,0.0833307222928441,0.08130259701042708,0.17890309618680003,0.2676903296856712,5
GBM_GLMM_enc,0.25072653975037246,0.21850986216020413,0.29336839879527943,0.3127360354106968,0.2908260137897658,0.07015365890705941,0.06945052654910085,0.1768666671514363,0.2565427516076738,5
NN_ee,0.2550456736913485,0.2182798095053086,0.30562638720335766,0.3182859577235008,0.2654321758295718,0.06734209874878636,0.06711316185951947,0.179877062411529,0.2741334710545469,5
GBM_ee,0.2530218255281457,0.21897126377550186,0.29779781551143775,0.31536313277637607,0.2788613270829836,0.08369989368746622,0.08122439093562238,0.1784429084666724,0.26490803154632586,5
GLMM,0.2589053743773716,0.21903481707999103,0.3033595626046485,0.3233723427726687,0.2417669858815633,0.06836382238328355,0.06817512871221389,0.18260152518941783,0.2901645953292819,5
GPBoost,0.25510692275616603,0.21552325403245867,0.30597428673905414,0.31895906272393476,0.2623219909091902,0.06938628219956039,0.06865049754759962,0.18025873623542915,0.28020223909569547,5
GLMMNet,0.25300369935010125,0.22014289202540427,0.2991471388333925,0.3156349068665393,0.2776178636896425,0.06852985053515799,0.06901492561763224,0.17884532219400426,0.27513411886927863,5
GLMMNet_l2,0.25176370504319767,0.21739628219800644,0.3094157487153113,0.31418539453652305,0.28423752109300904,0.08537134986750806,0.08650566730507914,0.17766312993155733,0.2638584137270016,5
GLM_ignore_cat,0.27122410099735295,0.2352607486352565,0.3109775726466122,0.34057635456767665,0.20377145455502377,0.10260889920384163,0.10011849436178093,0.1918375365322141,0.3418225971630193,6
GLM_one_hot,0.26758468552773695,0.22654728196304108,0.3063897763977166,0.33612052785349844,0.22446959010177892,0.08445844343143166,0.08399288837614267,0.18935175362480128,0.3286530637130063,6
GLM_GLMM_enc,0.2669916984237231,0.2256393870801769,0.31000958921835076,0.3349156819787575,0.23001950353282674,0.08061395018442265,0.07913785817954343,0.1886957404972075,0.3250620587811535,6
GBM_ignore_cat,0.264591192078707,0.2266962875592089,0.3003269449886936,0.33072994897185704,0.2491454689738557,0.09917307345222562,0.0968171045398116,0.1864370851847906,0.3124854324679609,6
GBM_one_hot,0.26338471714518774,0.22635104609273093,0.296817849924482,0.32918285121726737,0.2561537751408117,0.09265602292298566,0.09022182040474834,0.18555788619052582,0.3077966293759733,6
GBM_GLMM_enc,0.2606015955557714,0.22609991259835344,0.3014202233103,0.32506000364525467,0.2746696835996566,0.07778086015355587,0.07681941969025752,0.18342076607358349,0.2951930461116635,6
NN_ee,0.2651211882486302,0.22839490127043938,0.3062705076792813,0.331700706325228,0.24473118905565994,0.08440776645385913,0.08361754854939359,0.18711912494414717,0.3154163295830672,6
GBM_ee,0.26325566307143583,0.22378401573571352,0.3023628714115979,0.3290173146908523,0.2569017045034945,0.09356766739411412,0.0918147242597092,0.1855208098276798,0.3072936318427629,6
GLMM,0.2667700614522742,0.22744048611422193,0.3060510316941362,0.3348649757490325,0.2302526359568844,0.08004658765662431,0.07879909117200837,0.1886914695087301,0.32608995088619214,6
GPBoost,0.2645428872539265,0.22415558336010522,0.3114618185681492,0.33128262912560436,0.2466338782587627,0.07500348357631292,0.07376219594565493,0.18706470053207733,0.3216649037050623,6
GLMMNet,0.26330880915773147,0.21912730981858045,0.2996018725118811,0.32865743345048704,0.25852642677559,0.07903602189874226,0.07861248543234847,0.186176273504867,0.3199565186743466,6
GLMMNet_l2,0.25746830566565115,0.21311151103777629,0.2923195385918371,0.32264771374664,0.28539517818696203,0.07998739384392932,0.07907927993023199,0.18216294227626284,0.2915468221828032,6
GLM_ignore_cat,0.2649456037771858,0.2235545562574499,0.3066923439441064,0.3325178502569236,0.2440949207542512,0.10102440504049175,0.09768423594043833,0.18763106794108225,0.31787679786068623,7
GLM_one_hot,0.2630446950129514,0.2204046019133594,0.3034212539447114,0.33034479886587637,0.25394253166146064,0.09313808720887765,0.09045976406931085,0.18624796674328767,0.3113202082605062,7
GLM_GLMM_enc,0.26301843803075703,0.21764584487265556,0.30450256628133526,0.32995156934744285,0.25571762974588563,0.09129663974196904,0.08879773757337234,0.1860743374622369,0.31012913835962097,7
GBM_ignore_cat,0.25494738483767754,0.21425059152768455,0.3016668455999518,0.3196176685294807,0.30160858245410604,0.09907096898494067,0.09572143602621677,0.18044434130155765,0.2783087498452928,7
GBM_one_hot,0.25435359053748924,0.21357698879563866,0.29896567305473354,0.3186886226127496,0.30566276816936866,0.09167306840605823,0.08869032472975505,0.17992322736697627,0.2753977756447659,7
GBM_GLMM_enc,0.2537941365518597,0.2096854371934992,0.30031986141441835,0.31804567426706065,0.30846156685814285,0.08842336916447452,0.08608319297731656,0.1794092430015599,0.27337825645957536,7
NN_ee,0.25926229979661375,0.21968935243122778,0.306136079308682,0.3252082668604992,0.27696305468879934,0.08516273487254508,0.08311252741536578,0.18332719722990942,0.29564905242333045,7
GBM_ee,0.25558865470794173,0.21594088419746177,0.3003677340551676,0.32013728656844764,0.2993359185554695,0.09877360738417139,0.09549182378526602,0.18074621592926368,0.2799331785397139,7
GLMM,0.2621262238120839,0.21594313023129785,0.3023937768801761,0.32901529907459215,0.259935586760355,0.08860642701864775,0.08552822800500254,0.18557079962982292,0.30758530365003983,7
GPBoost,0.25776533457266926,0.21460289295931106,0.29604221308695194,0.32450941471138406,0.2800672377612955,0.08774369051710436,0.08535648884168126,0.18311093772311016,0.29834345748425223,7
GLMMNet,0.2600161056655766,0.22047332664779629,0.30423083236605614,0.325567711342674,0.2753638624619632,0.08881759206440465,0.0862848441414156,0.1848497999085942,0.32563393076748665,7
GLMMNet_l2,0.25361577394122553,0.21106101105544908,0.30059364808958,0.31753971387363583,0.3106600733954459,0.0904720071243709,0.08782750332950605,0.17940902516624055,0.2762505818829225,7
GLM_ignore_cat,0.2704618960380195,0.23039062022149412,0.30738040305621445,0.3372915390587427,0.2114006844342987,0.10156889728901847,0.10109012883621374,0.19092025722799386,0.33213091165516384,8
GLM_one_hot,0.2653056126615929,0.2252860152557805,0.3027233175520181,0.33002989577197767,0.24499110859236095,0.07266490735295847,0.0734545730935603,0.1868233788832776,0.3103664978281582,8
GLM_GLMM_enc,0.2647076202452287,0.22444626740277734,0.3052095215493385,0.3296145711596807,0.2468901878659545,0.07107791007675131,0.071681825888066,0.1866099180207094,0.30910725989621624,8
