model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,run
GLM_ignore_cat,0.4081597380796614,0.33563711028816223,0.1634661632439373,0.5273514829283008,0.3527492863324554,0.3181126848592419,0.3129353341363029,0.28854071989742075,1
GLM_one_hot,0.3316306003691602,0.26695130716314164,0.13436950815148957,0.4318636524780061,0.5659242725651197,0.09861658301467971,0.09819611708965885,0.23546183634178752,1
GLM_GLMM_enc,0.3365277853114202,0.2695555081993014,0.1361774029676446,0.4403845276132966,0.5486262496550143,0.12848768577214928,0.12597003872049972,0.2392395890775856,1
GBM_ignore_cat,0.37997743795422095,0.3142122887885779,0.1563530782135472,0.4874824059949165,0.4469172842313681,0.31296318159955766,0.30783019144686263,0.2672953501838056,1
GBM_one_hot,0.36195337898991964,0.305165353647036,0.14677457029814298,0.46222845829684206,0.5027376756702623,0.239039085050263,0.23805294041246197,0.25398479968148013,1
GBM_GLMM_enc,0.3133068039301625,0.2556367944594129,0.12649125705899608,0.40382179538528223,0.6204651105327841,0.12600788350921815,0.12387499179874761,0.22101841377980228,1
NN_ee,0.3019902546171078,0.24511106536199145,0.11955839371380261,0.38826770568278723,0.6491392934206965,0.09557037962902075,0.09505087314301071,0.21312841084478817,1
GBM_ee,0.36745659853465706,0.3050584969789669,0.14962029691159617,0.47081867913723807,0.4840833262008637,0.27102924944580264,0.2691486560890286,0.2580712964898916,1
GLMM,0.33177884247937,0.26632971317817655,0.13532576688602288,0.43203294797753966,0.5655838805428886,0.09818316708990749,0.09800263396661614,0.23551622285067542,1
GPBoost,0.36819849623122763,0.307519368148946,0.15030181655319622,0.4723654442921768,0.48068790968879516,0.2736908388827961,0.2692724715359123,0.2592796651821545,1
GLMMNet,0.29713761488221246,0.24142488498322812,0.12110812077061245,0.3829080561685231,0.6587590029062538,0.09157835487506495,0.0902906400014536,0.21054039106396613,1
GLMMNet_dropout,0.3543819833443662,0.2755820977604042,0.14334740582724742,0.47214359286570207,0.4811755959689219,0.21717646897014511,0.21547873680614563,0.25669795174005405,1
GLM_ignore_cat,0.4136680456674281,0.32170198700110275,0.16946123568001703,0.552094931965139,0.33258400698784396,0.34050795830414926,0.34399807996079257,0.293676264827473,2
GLM_one_hot,0.3319693358532808,0.26333433955297036,0.1350121261103381,0.43915270101025294,0.5777202996235471,0.10742498152815694,0.10403594802058434,0.23451019890281297,2
GLM_GLMM_enc,0.33484114660557696,0.26591349468200787,0.1362953892363728,0.44438913642920513,0.5675897744739302,0.12503473192835876,0.12310558363603669,0.23685956295274482,2
GBM_ignore_cat,0.388941878222073,0.321763385578968,0.16462280410750543,0.5188660765250656,0.41050565515548754,0.3380392327221148,0.3426916304072066,0.2764079742914402,2
GBM_one_hot,0.3582464135746438,0.2959101229141573,0.1535032656081239,0.47236890612544036,0.5114244913611792,0.24220469218633583,0.24417492339090244,0.2528297312013252,2
GBM_GLMM_enc,0.30826835640406136,0.2499743970706847,0.12702630649623312,0.40880488105421786,0.6340672887842158,0.1202020416539948,0.11823423815408343,0.2174570930607903,2
NN_ee,0.30826112689689433,0.24861545272178476,0.13028655899155372,0.40351298862808377,0.6434798129158129,0.12153558540852302,0.12303922658097567,0.21741106304984684,2
GBM_ee,0.363637747833857,0.29912649825934134,0.15183556228632736,0.48663013337622524,0.48147812310792815,0.27609512349364856,0.2819900027532398,0.25787412216209415,2
GLMM,0.33230354566696824,0.2674064503531335,0.1370202060906264,0.43961539878545136,0.5768299905843286,0.10768468632852121,0.10395709490638357,0.2347220317869206,2
GPBoost,0.3635765397937805,0.29396558928931626,0.15160861660752672,0.4851145486081693,0.4847029135112453,0.2755053912974758,0.2793803179845626,0.2585820136391789,2
GLMMNet,0.29754469920044047,0.23866806343996383,0.12325790595661978,0.3930557728363125,0.6617191239460745,0.1087428033993123,0.10645506352404611,0.2110312833321831,2
GLMMNet_dropout,0.32088217985285594,0.236891025672191,0.12909430914130415,0.4429718413794029,0.570343557286499,0.19198781041602328,0.1919677485177798,0.2348782385010719,2
