model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,run
GLM_ignore_cat,0.2016853331178287,0.1677761073170412,0.24126061659871767,0.25307009022743493,0.3931008214973465,0.16212135260176963,0.16319322865230174,0.14272557899715393,1
GLM_one_hot,0.15872513584554268,0.13316254087793156,0.19016453257484647,0.1997908493358873,0.6217437644957282,0.05072540829243119,0.049829791737462034,0.11232456983259385,1
GLM_GLMM_enc,0.161099899041167,0.13783489081702643,0.19518101079580505,0.20247118781780296,0.6115265243757837,0.06045183469225833,0.05976245049744218,0.11397651502660888,1
GBM_ignore_cat,0.18759429956744747,0.15912884162957902,0.2242994334501887,0.23445595669197514,0.4790962883487093,0.16034502481725862,0.1609900727892125,0.13243269293283091,1
GBM_one_hot,0.17707387216953016,0.1515481321387918,0.21250556394406944,0.21948888191657254,0.5434798385568015,0.1293411978848733,0.1302967790182328,0.12438421216993535,1
GBM_GLMM_enc,0.14523208102136898,0.12317272986804373,0.17640773873178198,0.18148175459097324,0.6878949120204665,0.058676416751631474,0.059086801016106,0.10231475798287837,1
NN_ee,0.14737102764832843,0.12656246072136346,0.18125251920062413,0.1847688820296537,0.6764863780577078,0.06128204283393564,0.05879646433230699,0.10413628490231722,1
GBM_ee,0.17536563085907916,0.14805558451735115,0.20983346796851118,0.2186466748034018,0.546976570287296,0.13335378016141683,0.13365584404637473,0.12358732980468203,1
GLMM,0.15887052592908021,0.13276439483047311,0.19140909600803502,0.19997031444793045,0.6210639106713042,0.051084905413047915,0.05046193814151596,0.11247130275559952,1
GPBoost,0.15990417212872496,0.13447217945194545,0.19871698086501186,0.200926651169445,0.6174308009739478,0.050962464817209514,0.050676318912964764,0.11331694146361308,1
GLMMNet,0.13786836766271032,0.1178132741986811,0.17160670703711478,0.172983877709135,0.7164392173623384,0.04460858143452448,0.04386584108330105,0.09762086722914594,1
GLMMNet_dropout,0.16770953903512692,0.1445296521998931,0.22137407107482454,0.2085024133289575,0.5880380719792571,0.11068959835241289,0.11191789911863322,0.11808376061168357,1
GLM_ignore_cat,0.20894005383395547,0.18080717639108213,0.24884905820089484,0.26069781601817515,0.3628900275269107,0.16955514301746671,0.17013611090607253,0.14720158111730267,2
GLM_one_hot,0.16274587940279267,0.13415498994331942,0.19660145816016744,0.20347612082400146,0.6118795591263163,0.051004830046378236,0.04948910447250392,0.114852069784473,2
GLM_GLMM_enc,0.16395212108416654,0.13573352266524194,0.19835172833175305,0.2054130478705449,0.6044552082738323,0.05756129849081281,0.05689044061795549,0.11590304921103302,2
GBM_ignore_cat,0.19396977715284047,0.16345965572735202,0.23164894716384765,0.24262545646988892,0.4481610532376423,0.1687863041469668,0.16936745173906712,0.1368903866059799,2
GBM_one_hot,0.1794912300104312,0.1508987751812948,0.2075850638891163,0.2235346417744559,0.53158662196371,0.1324086104977793,0.13212687341059823,0.12638998317945302,2
GBM_GLMM_enc,0.14743111278040943,0.12398625657360607,0.17357330051604752,0.18462224934086918,0.6804729035682026,0.0576716823023175,0.05706897069127868,0.10428405778636475,2
NN_ee,0.1449734251677343,0.11949025262840418,0.17249339531225372,0.18294290895622878,0.6862593599908415,0.045708324429982114,0.04402135588758553,0.1029286769241748,2
GBM_ee,0.17605045844919667,0.14803589120152866,0.20559319179595598,0.2210294122731833,0.5420271263133476,0.13271882516721392,0.13306586058454475,0.12465135936346942,2
GLMM,0.1627677775767171,0.13500220344782488,0.19606362750455125,0.20350623434652482,0.6117646705737781,0.051131454931274904,0.04955766220165932,0.11486619190478332,2
GPBoost,0.16201248352812894,0.13547354305650872,0.19803600299369822,0.20394430408334918,0.6100914323964142,0.05283944657591291,0.050961885929782146,0.11521327522765398,2
GLMMNet,0.14579446564153786,0.12104120833091783,0.17697964060362958,0.18303715721705696,0.6859360118312527,0.04727191537942966,0.045843110731223824,0.10342537794019317,2
GLMMNet_dropout,0.16144548360975539,0.13668382950154442,0.21185800476499517,0.2017643308707992,0.6183823963198831,0.09204542176088597,0.091436484384153,0.11441148848521247,2
GLM_ignore_cat,0.19916648181623928,0.16845880123448012,0.23878762126567032,0.2496070286059651,0.36775639003705174,0.16074643777385508,0.16068593302285453,0.1409327312029454,3
GLM_one_hot,0.15679176419474927,0.13035962209909177,0.19268559279837796,0.19700356601508215,0.6061607434036695,0.048280006546840865,0.047551955015916615,0.11091055597484208,3
GLM_GLMM_enc,0.1573281937336696,0.1335977308578417,0.19431746508261297,0.19827698994496545,0.6010527622474116,0.05283302509292305,0.05287513622766719,0.11157662700327642,3
GBM_ignore_cat,0.1872941280631091,0.15540983679534393,0.22508957417698186,0.23465322298670563,0.44124184415988965,0.1600311752059664,0.1599490662300006,0.13229532085510126,3
GBM_one_hot,0.17391741376606987,0.14528100215020895,0.20781195952519244,0.21800419272499236,0.5177185918130465,0.12486573885770325,0.12499033933428919,0.12295736777708689,3
GBM_GLMM_enc,0.14334346212004462,0.12196427497969742,0.17588449812103232,0.1807778124780546,0.6683644479455642,0.053898605440229425,0.05361742188398579,0.10169740720693218,3
NN_ee,0.14726587001853494,0.12265660066658007,0.18050998740895158,0.18562921789026893,0.6503258742780977,0.04681020675053498,0.04671972140508591,0.10447182956769833,3
GBM_ee,0.17300828036501809,0.14591655901249356,0.21097652367731168,0.2181478579619768,0.517082733372896,0.13108990734322973,0.13075920759428328,0.12266953087856937,3
GLMM,0.15668401356030348,0.13179689967341812,0.19193065552518246,0.19679536388902039,0.6069927571844536,0.04762844722724923,0.04688069909190197,0.11082141188803948,3
GPBoost,0.16098296123487105,0.13562794429938263,0.19721631974229786,0.20234107490234862,0.5845307045359647,0.050938385955821015,0.05024229542556462,0.11405311144098437,3
GLMMNet,0.14018225741039625,0.11905026017858666,0.17256884434911568,0.1767769414300874,0.6828811491690427,0.04295760125021908,0.04325710918288695,0.09951797755282023,3
GLMMNet_dropout,0.16104563199234762,0.1361241588984683,0.2085097809228028,0.20209930417376426,0.5855229726962035,0.08573924436235611,0.0850755878463555,0.11407280050212025,3
GLM_ignore_cat,0.20936846187946176,0.17510218466457134,0.26594449841514073,0.2610478902765667,0.33471600234583254,0.1722410582250356,0.17067562903345837,0.14737725507489427,4
GLM_one_hot,0.16338186463714685,0.14046001157911012,0.2152076569006533,0.2034429827873209,0.5959341648924167,0.0505161502043761,0.050278996309369564,0.11475216762016426,4
GLM_GLMM_enc,0.1645507220924544,0.1403604468286026,0.21675035986071928,0.2048717486163304,0.5902387835825139,0.056205063100775894,0.05578926498601728,0.11553184724177386,4
GBM_ignore_cat,0.19474069222826407,0.1632909756901641,0.24751844790768324,0.24401286955549034,0.41871091752100065,0.17138902800973577,0.169989247755994,0.13755162982801875,4
GBM_one_hot,0.18104174810353918,0.15562883642395225,0.22723923245120745,0.2247093595730664,0.507043013735754,0.13365443426912685,0.13186807656323232,0.1272681272895586,4
GBM_GLMM_enc,0.1488194285566752,0.12929510890149837,0.1963064839046853,0.18494708568788798,0.6660651950829206,0.056841531078825475,0.05647221905940778,0.10449418922731854,4
