experiment,run,model,ME,MAE,RMSE,RMSE_avg,LL
1,1,1,0.014306912496147284,0.20420631249571136,0.25633478072821814,0.18865549304518558,-1.1979168988377962
1,1,2,0.0018967243135572967,0.14415051623027575,0.1817680320231912,0.046730275470057515,-0.8488874886825665
1,1,3,0.0045391788843964,0.14885300986609734,0.18857812939237906,0.04713328019994424,-0.8827191340024808
1,2,1,0.003200455267723435,0.19100024009882594,0.2361091983432095,0.16674560494239354,-1.1322615327660555
1,2,2,0.005584753452241602,0.1459489925830595,0.18221034780389908,0.053655683131581824,-0.866736879336339
1,2,3,0.02303678130230376,0.14568305720190014,0.18200060323694475,0.05801309316836307,-0.8653092138333073
1,3,1,0.007661863340339966,0.19407423527178852,0.24217577772285218,0.17792484812054257,-1.1559642526070522
1,3,2,0.006720115136200646,0.14547098390365804,0.18150397452818476,0.04931406096140383,-0.8644959755958255
1,3,3,0.007881681068012784,0.1525792645825486,0.19092899452975776,0.05127075972428148,-0.9146260937389341
1,4,1,0.03072455861988962,0.1934152539454492,0.24314630837141413,0.15921438018310094,-1.1687207670714355
1,4,2,0.004413074185099217,0.14711892645812213,0.18583114390222963,0.04074001744065676,-0.8982508769206504
1,4,3,0.00495223858701517,0.15266252207409875,0.19297725286674694,0.04096293776659569,-0.9359784618579972
1,5,1,0.0033594017222630763,0.18467887433574573,0.2321453815624218,0.16219453810943762,-1.135948370736548
1,5,2,-0.014283740533960235,0.15756829214265536,0.19783767429339427,0.05565973695561882,-0.9775670397579297
1,5,3,-0.00807240504495833,0.1529931026964116,0.1914026727755028,0.054853329271470734,-0.9467980887708867
1,6,1,0.00038209168327511665,0.1920585183478242,0.24072032852393402,0.16010037447310876,-1.1515661487640547
1,6,2,0.0008189039699564564,0.15449016054206952,0.19479061971211808,0.05267493434636815,-0.9338884526871605
1,6,3,0.0011417492378835814,0.1525860093649447,0.19207348657135404,0.04965704188738339,-0.9215699532132555
1,7,1,-0.009505926207274853,0.18682129309751722,0.23523600471772796,0.16102936254066666,-1.151992634588483
1,7,2,0.004763566368159616,0.1587165317238909,0.19762412467585888,0.051022835235606676,-0.9872125807416161
1,7,3,-0.006130943529401295,0.15196899569111746,0.18877332021261384,0.05087302798146435,-0.940619653901425
1,8,1,0.0016799086291228434,0.20383545850712662,0.2555777251812138,0.17823116262538688,-1.2155557638407293
1,8,2,-0.001892504395197404,0.1531528345099639,0.1918287520698409,0.04447043967471215,-0.9319859729090938
1,8,3,0.0006310526362877991,0.16055151584471586,0.19982540186287676,0.04847911913542494,-0.973983735328329
1,9,1,-0.005695846022612905,0.20460086616210368,0.25704857848962737,0.1866882236603645,-1.1987194759962463
1,9,2,-0.001230214604962776,0.15201482462111013,0.1917495092271888,0.048005857972951586,-0.902252982112061
1,9,3,-0.001180987582937395,0.1506704347439074,0.187821920106873,0.04658433123800448,-0.8928996276693802
1,10,1,0.009106987507464154,0.20485187875064303,0.25599732976616146,0.18107900596647677,-1.199850005803683
1,10,2,0.005972758118551884,0.14061705326961782,0.17719819815418192,0.04687048057565509,-0.8286187719295581
1,10,3,0.0017289530975050076,0.15197307960233794,0.19082859439066177,0.05240782325840958,-0.9031743100374375
1,11,1,0.007184998763678801,0.20265507168727617,0.25372892935177166,0.17749971820036403,-1.1829438931548117
1,11,2,0.0009847078463785838,0.1615836306495158,0.20263707188622124,0.04785378731552417,-0.9586503998596494
1,11,3,0.0013449652801774974,0.15495106720035928,0.19288767410030339,0.044941101495893705,-0.9120944213198896
1,12,1,-0.01192653490997885,0.1874980826902203,0.23575194662658824,0.1555291169003272,-1.1515776040014873
1,12,2,-0.004440014550306263,0.15800835719291523,0.19989660507576434,0.056480548368238855,-0.9868392563192112
1,12,3,-0.010131549857188268,0.1517088761836639,0.19144997747819334,0.053078662473887095,-0.9439811165389328
1,13,1,-0.009511328315960892,0.19349125397957873,0.24030645184477945,0.16382740901645076,-1.1464489846941446
1,13,2,-0.005020782767558974,0.14450467282236837,0.1801831644544528,0.04035289879910861,-0.8561665517201236
1,13,3,-0.008380106115394354,0.15289207028069085,0.18975385208726986,0.045883168614388924,-0.9101244782134734
1,14,1,-0.003776684356412867,0.19961998280079055,0.2515320764993801,0.17450295460591508,-1.1707051472108883
1,14,2,-0.0003550012891581049,0.143540771488047,0.1796468529749451,0.04640821457532609,-0.8413084580735635
1,14,3,-0.0035492189407876095,0.15546316242361227,0.19510142434257993,0.05248391807972363,-0.9222057355564147
1,15,1,0.003015016595050404,0.1803111932341243,0.22556940320518046,0.14297834670208856,-1.126079772606113
1,15,2,-0.007103196246794334,0.15783052753975288,0.19781832670705315,0.04801201753285173,-0.992367373010894
1,15,3,0.004656233136489494,0.14976838070710358,0.1876536995617579,0.04733794281871085,-0.9414932184389787
1,16,1,0.006799557519845263,0.18202115611185848,0.22763262818064411,0.1554342482283268,-1.0948391246855962
1,16,2,-0.001758465134956756,0.14301780757313579,0.18039902504536556,0.04504790935440241,-0.8596873885493284
1,16,3,0.0013214532203806662,0.15622943560872793,0.19434166958929183,0.04878999393326145,-0.9398478094289627
1,17,1,-4.828345023884708e-5,0.1870669383330001,0.2333564499170241,0.1647894841829911,-1.121689761921764
1,17,2,-0.0028629311575018436,0.1520011929836437,0.19415276976054427,0.04302622377550336,-0.9219933581560387
1,17,3,-0.004173756023955549,0.14937800683611693,0.1883962774812793,0.04206360550552613,-0.9022037597254708
1,18,1,-0.0011748999397683988,0.1990894457761306,0.2499676626814761,0.17338751027859886,-1.1744524959920106
1,18,2,0.0013761426639227747,0.1534737415607333,0.19374425200457673,0.050060608552837636,-0.9179183649673234
1,18,3,7.502899461016365e-5,0.15349740877783716,0.19252432708371398,0.048108304997320356,-0.9132845682606531
