model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,run
GLM_ignore_cat,0.205704465522826,0.17448618410361527,0.2459874713065926,0.25702044032113736,0.3748313608112749,0.16554397408683402,0.16080901093023803,0.14503419834263717,1
GLM_one_hot,0.16508235130038001,0.13939346256627014,0.2024702828902175,0.20662956814368805,0.5959391309889481,0.09152862940681347,0.049288279394574905,0.11665766703035624,1
GLM_GLMM_enc,0.16601108853927593,0.14096918501310335,0.20213133685667262,0.20706228760344972,0.5942450067553944,0.08230015343153288,0.05125831818341815,0.11696660819037893,1
GBM_ignore_cat,0.18953141954495695,0.1561501960186953,0.223798031875457,0.239627280878496,0.45658155307962434,0.16457475264237895,0.15854166760775917,0.13484106250048117,1
GBM_one_hot,0.17590569597410555,0.1444330397720633,0.20702670633884226,0.221700164828174,0.5348490743933643,0.1292486375141537,0.11831455574642115,0.12499179729245384,1
GBM_GLMM_enc,0.14933978982184515,0.12838862738175622,0.18506493754433406,0.18664814354608777,0.6703073943886034,0.07817230183617849,0.0505968498912377,0.10540008559122635,1
NN_ee,0.15070233076260797,0.12657196636218243,0.19014859200468479,0.1876150635324509,0.666882639222139,0.08597606697768066,0.05073185140058466,0.10598458940419855,1
GBM_ee,0.17206384723979146,0.14160157300485104,0.20678005203137828,0.21795495512669336,0.5504320407217387,0.13125009163512874,0.12033785205742227,0.12267528664890115,1
GLMM,0.16466337529599495,0.13986460049251181,0.20172065023434016,0.20603000086973863,0.5982806177014126,0.07786555635984227,0.04704849521715806,0.11634771950231115,1
GPBoost,0.16535206104631853,0.13842537220558354,0.2051934197140783,0.20814590560885557,0.5899870231501023,0.07823778748595228,0.05036902857592463,0.11735976250910332,1
GLMMNet,0.14722054872710996,0.1269118678016858,0.17961327574167346,0.1843761302133045,0.6782850458212963,0.06948704286292001,0.04539935805096744,0.10414764838599436,1
GLMMNet_dropout,0.17635505710729882,0.15142359845866232,0.23774716638355137,0.21917110677251891,0.5454010178729518,0.12184528005358576,0.10684922423422276,0.12443927561800625,1
GLM_ignore_cat,0.20714056899601843,0.16999056990318434,0.24873484896216147,0.2623054733706179,0.35249559508734396,0.18088028462889302,0.1716875060962316,0.14730143955711142,2
GLM_one_hot,0.16291433597901733,0.13777892355835775,0.1987504756336521,0.20431723329126408,0.6071398124128281,0.08215660091677207,0.05007945574123979,0.11517668798918812,2
