experiment,run,model,ME,MAE,RMSE,RMSE_avg,LL
2,1,1,-0.008711406577216859,0.3903276285223058,0.5084124183129511,0.36046454755247576,-1.0879753815962474
2,1,2,-0.004560212554634236,0.2939102163247992,0.3845962950065801,0.09882113396707143,-0.8363508319033035
2,1,3,-0.005688169666895782,0.28926410276849907,0.3771913146888213,0.09947575062173247,-0.8232154968733592
2,2,1,-0.008918302237695946,0.417962243746744,0.541769587850548,0.3748402083689455,-1.1721139717918274
2,2,2,0.0006614567282699781,0.2939769446607017,0.38557691553450874,0.09387625369827754,-0.8577666097014164
2,2,3,-0.003571559460645325,0.2814406847232114,0.3674528542327134,0.08886215488054355,-0.811617008490926
2,3,1,-0.037146060031734866,0.3927108103472834,0.5245474909843533,0.3758609533051697,-1.0948253063159037
2,3,2,-0.001627319747787643,0.29146293067182344,0.38126918253455766,0.10314594348677183,-0.8112311387396298
2,3,3,-0.0025441687829539992,0.28385651188568833,0.3680338807596507,0.10082365909061783,-0.7884149218461166
2,4,1,-0.010486876281599632,0.3934287279774442,0.5156428423387462,0.35568342134784203,-1.1032212050634806
2,4,2,0.0062153621154024145,0.30336099590737914,0.39332097750445544,0.08924493666866505,-0.8630572044324064
2,4,3,0.024223160947920104,0.2969238228878406,0.38296440868676995,0.0864575602610823,-0.8385846117426555
2,5,1,-0.02347321337851677,0.3705851456739876,0.4862214581440877,0.3409745662445081,-1.0715379026146552
2,5,2,-0.01134915694204378,0.28243107763776987,0.36970286447661155,0.09628383259457188,-0.8250339188330006
2,5,3,-0.009838926266165738,0.2984873572502,0.3918964564992401,0.08795161718409353,-0.8709227020327771
2,6,1,-0.017369795858257438,0.37581205674193935,0.49236871766142554,0.3038795808792861,-1.0896320696678068
2,6,2,0.013752873504389453,0.29843429666795374,0.3898880282384661,0.10091408350376309,-0.8685154903873911
2,6,3,0.011729355189615723,0.28623330252868723,0.3722251989080929,0.09406890754478137,-0.8327243719895365
2,7,1,-0.01587642380248637,0.4247701169958769,0.5513938169539953,0.3883817209937447,-1.1348700171851949
