model,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS,run
GBM_GLMM_enc,0.26331454298002555,0.23149820048760983,0.1261796421654195,0.3285888049856126,0.6131820462384386,0.09352522186590682,0.09400636496180002,0.1853048121368022,3
NN_ee,0.26052942859940315,0.22263356710147653,0.1278366464734827,0.3281137393238901,0.6142997415688141,0.0899215260233385,0.08688425960321695,0.18494963634016354,3
GBM_ee,0.30938430582163107,0.26732412069619316,0.1458870799974002,0.38701639817700195,0.46338867890466506,0.2202485549952823,0.21768794040678857,0.21767932994821712,3
GLMM,0.28114566830203097,0.23447278713886954,0.12887704725304536,0.35588218517460635,0.5462531799726689,0.09110881506770417,0.09094004992528404,0.19956524975357864,3
GPBoost,0.26660058289062416,0.22674542603590853,0.1268746657840073,0.3328854862212,0.6029997154383022,0.08065763983645022,0.08051786417531068,0.18794391851613565,3
GLMMNet,0.257115905229933,0.22005668951087454,0.12327784713172882,0.32037502213610025,0.6322790311318522,0.08171988121452517,0.0815042676748664,0.18261296751470527,3
GLMMNet_dropout,0.3112207597333531,0.258186182360171,0.15175870460436774,0.39530201327262404,0.44016615583091756,0.2231922452701841,0.22279083945566314,0.2316840084909053,3
GLM_ignore_cat,0.3148389211105379,0.26022038607751563,0.14916458117996823,0.40027718641966786,0.36813894276120307,0.23203718030546897,0.22579263390202667,0.22476013801582675,4
GLM_one_hot,0.27124057540796587,0.2289025858195356,0.1286001260612999,0.34327100719755943,0.5352984066824535,0.09641557970014812,0.09386945833965524,0.1929448010657828,4
GLM_GLMM_enc,0.27358472036764414,0.22527428631295754,0.1299700690171508,0.34604010031516,0.5277708722643248,0.10509984101447249,0.10335056342942849,0.1944438137552485,4
GBM_ignore_cat,0.2930287388842523,0.24026310246795857,0.1376344688249374,0.3711963170426265,0.4566155199806363,0.2286168621051175,0.22208809421391162,0.20906776291236415,4
GBM_one_hot,0.2821399944454824,0.23273070114728367,0.13555459993356161,0.3561281463629007,0.4998359057642019,0.18283152866324176,0.17895597599085805,0.20044387854894063,4
GBM_GLMM_enc,0.2529691714886224,0.20960966360520694,0.1210164100430712,0.3184166321335345,0.6001552463428497,0.10789515880656024,0.1055586991847531,0.17942104241324852,4
NN_ee,0.24987261047541756,0.21429685524546072,0.12230683053485303,0.31273463415780905,0.6142980152644577,0.0937402632209352,0.09201085537576321,0.17663212735212014,4
GBM_ee,0.28213007436393955,0.23100387908052955,0.1321848866422489,0.35684938359978113,0.4978079713897019,0.19804225985908824,0.19200751388289247,0.20092616482575495,4
